avg_size,edge_collisions,entropy_loss,episodes,policy_entropy,policy_loss,reward_rate,self_collisions,steps,t,value_loss
13.00390625,0.001953125,-0.08178241550922394,4316533,0.07879648357629776,-0.12317495793104172,23.609375,0.001953125,111667200,7815.785708665848,0.35005420446395874
13.068359375,0.00390625,-0.08130832761526108,4316945,0.0818902775645256,-0.1418270617723465,18.140625,0.00390625,111718400,7819.616818666458,0.35217881202697754
12.98046875,0.0,-0.07734598964452744,4317378,0.08184782415628433,-0.16671156883239746,22.2421875,0.001953125,111769600,7822.9534459114075,0.35269516706466675
12.814453125,0.00390625,-0.07953295856714249,4317805,0.07651437819004059,-0.13162939250469208,20.875,0.00390625,111820800,7826.790010213852,0.3503853678703308
13.28125,0.00390625,-0.0801137164235115,4318182,0.07803106307983398,-0.09330141544342041,21.8515625,0.009765625,111872000,7830.146096467972,0.3469915986061096
13.46484375,0.009765625,-0.07833416759967804,4318592,0.08876772224903107,-0.14698265492916107,21.8515625,0.0078125,111923200,7833.9744782447815,0.3520962595939636
13.123046875,0.00390625,-0.08021946996450424,4319010,0.06165461987257004,-0.17144179344177246,24.390625,0.00390625,111974400,7837.335559606552,0.3475460410118103
12.8828125,0.0078125,-0.07841568440198898,4319406,0.09288303554058075,-0.12131094932556152,16.96875,0.00390625,112025600,7841.198648929596,0.35274797677993774
12.556640625,0.0078125,-0.08186303824186325,4319829,0.0922120213508606,-0.18309107422828674,18.3359375,0.005859375,112076800,7844.550448417664,0.3515842854976654
12.408203125,0.0,-0.0820603147149086,4320274,0.0783325582742691,-0.08827972412109375,23.21875,0.00390625,112128000,7848.377327442169,0.36767080426216125
12.6953125,0.01171875,-0.08241361379623413,4320714,0.06868283450603485,-0.12982825934886932,19.8984375,0.001953125,112179200,7851.726780176163,0.36050528287887573
11.056640625,0.005859375,-0.08731704950332642,4321251,0.0915495902299881,-0.3202405571937561,25.7578125,0.00390625,112230400,7855.558251142502,0.36349600553512573
11.48046875,0.00390625,-0.08416849374771118,4321749,0.08573035150766373,-0.23290686309337616,19.1171875,0.009765625,112281600,7858.913199186325,0.3652958869934082
12.3046875,0.0,-0.08075692504644394,4322223,0.07510337233543396,-0.09903744608163834,23.0234375,0.005859375,112332800,7862.743097543716,0.3680195212364197
11.853515625,0.0078125,-0.08160408586263657,4322731,0.08840391039848328,-0.15784750878810883,25.953125,0.00390625,112384000,7866.088138103485,0.3564179837703705
12.080078125,0.001953125,-0.0830313190817833,4323217,0.08139209449291229,-0.29641324281692505,19.3125,0.001953125,112435200,7869.915234327316,0.358010470867157
12.087890625,0.0,-0.08102474361658096,4323712,0.0823301374912262,-0.10007680952548981,22.828125,0.0,112486400,7873.268546104431,0.35308343172073364
12.17578125,0.005859375,-0.07718388736248016,4324178,0.07998601347208023,-0.15004189312458038,19.703125,0.001953125,112537600,7877.140034675598,0.36086568236351013
12.21484375,0.005859375,-0.07426619529724121,4324638,0.063167043030262,-0.19176560640335083,23.4140625,0.00390625,112588800,7880.516311645508,0.3534940779209137
12.140625,0.0078125,-0.07527584582567215,4325090,0.07095169275999069,-0.10779286921024323,20.2890625,0.005859375,112640000,7884.366280078888,0.35667991638183594
12.234375,0.001953125,-0.0739414319396019,4325541,0.07801826298236847,-0.1491478532552719,14.4296875,0.00390625,112691200,7887.736047744751,0.3557048439979553
12.9921875,0.001953125,-0.07434815168380737,4325972,0.08795627951622009,-0.13513559103012085,22.046875,0.001953125,112742400,7891.560448408127,0.3615017533302307
13.12109375,0.0,-0.07317591458559036,4326380,0.06862737983465195,-0.07926590740680695,23.4140625,0.013671875,112793600,7894.909632205963,0.35883140563964844
12.57421875,0.00390625,-0.07084055989980698,4326795,0.06833383440971375,-0.15978866815567017,21.4609375,0.001953125,112844800,7898.756705999374,0.35463762283325195
13.076171875,0.001953125,-0.07069583237171173,4327202,0.07543995976448059,-0.10689463466405869,23.4140625,0.0,112896000,7902.092829465866,0.3550294041633606
12.470703125,0.00390625,-0.06980718672275543,4327642,0.06662018597126007,-0.18550749123096466,25.3671875,0.001953125,112947200,7905.9228937625885,0.359398752450943
13.240234375,0.00390625,-0.06917563825845718,4328031,0.07502560317516327,-0.11993082612752914,19.703125,0.00390625,112998400,7909.269644975662,0.3582383692264557
12.970703125,0.005859375,-0.0736832544207573,4328453,0.07657270133495331,-0.18510358035564423,24.1953125,0.0,113049600,7913.116788864136,0.35362687706947327
12.99609375,0.00390625,-0.070960633456707,4328870,0.07575872540473938,-0.17372678220272064,20.2890625,0.001953125,113100800,7916.453274726868,0.35740190744400024
12.71484375,0.009765625,-0.07366254180669785,4329314,0.07272619009017944,-0.1485314816236496,21.4609375,0.00390625,113152000,7920.2964453697205,0.3530047833919525
13.212890625,0.001953125,-0.0743083655834198,4329696,0.07245199382305145,-0.14660607278347015,24.0,0.001953125,113203200,7923.643114566803,0.35231202840805054
13.07421875,0.001953125,-0.07233845442533493,4330101,0.07601951062679291,-0.1487095206975937,25.7578125,0.00390625,113254400,7927.483639001846,0.3530281186103821
11.96484375,0.005859375,-0.07192051410675049,4330576,0.07703779637813568,-0.17746666073799133,19.5078125,0.0078125,113305600,7930.8294069767,0.35390767455101013
11.966796875,0.001953125,-0.07398953288793564,4331045,0.07235032320022583,-0.12952636182308197,20.09375,0.001953125,113356800,7934.67774271965,0.36089515686035156
12.564453125,0.005859375,-0.07618214190006256,4331489,0.0713832676410675,-0.16096507012844086,18.7265625,0.0,113408000,7938.014647483826,0.3649806082248688
13.095703125,0.001953125,-0.07553781569004059,4331915,0.08553533256053925,-0.16158190369606018,22.2421875,0.00390625,113459200,7941.864053964615,0.3552848994731903
12.91015625,0.0,-0.07749342173337936,4332337,0.08571989834308624,-0.13082484900951385,23.21875,0.0078125,113510400,7945.2237849235535,0.35345005989074707
12.623046875,0.005859375,-0.07356377691030502,4332762,0.08702772855758667,-0.22270973026752472,24.5859375,0.0078125,113561600,7949.074190616608,0.35986876487731934
12.2734375,0.00390625,-0.07278799265623093,4333227,0.061238843947649,-0.1031615361571312,22.4375,0.0078125,113612800,7952.435288667679,0.35581526160240173
12.1875,0.001953125,-0.0750420093536377,4333722,0.08523932099342346,-0.20529527962207794,23.609375,0.001953125,113664000,7956.315759897232,0.3531801700592041
12.4140625,0.005859375,-0.07502898573875427,4334199,0.0789736658334732,-0.14634530246257782,19.1171875,0.0,113715200,7959.694685459137,0.3634111285209656
13.07421875,0.00390625,-0.0743665024638176,4334641,0.07893387228250504,-0.12451715767383575,24.5859375,0.005859375,113766400,7963.540136575699,0.3515457510948181
12.46484375,0.0078125,-0.07259364426136017,4335111,0.0688837319612503,-0.2779582440853119,22.2421875,0.009765625,113817600,7966.907058238983,0.36965861916542053
12.189453125,0.001953125,-0.07237926870584488,4335548,0.0712464228272438,-0.1626075804233551,19.8984375,0.0078125,113868800,7970.760070323944,0.3565536141395569
12.103515625,0.005859375,-0.0732867494225502,4336026,0.06737452745437622,-0.18559522926807404,20.6796875,0.00390625,113920000,7974.1326632499695,0.3522827625274658
11.9296875,0.001953125,-0.0729973316192627,4336514,0.07210651785135269,-0.20417869091033936,23.8046875,0.00390625,113971200,7977.975851774216,0.3666991591453552
